;;;;;;;;;r;Vr;Ar[mA];Rcalc;Rmed;deltaR;
;;;;;;;;;330.00;4.80;15.29;313.93;325.00;11.07;
;;;;;;;;;470.00;4.80;10.69;449.02;469.00;19.98;
;;;;;;;;;680.00;4.90;7.32;669.40;669.00;0.40;
;;;;;;;;;1k;4.90;5.19;944.12;979.00;34.88;
;;;;;;;;;1.5k;4.90;3.40;1441.18;1503.00;61.82;
;;;;;;;;;1.8k;4.90;2.89;1695.50;1770.00;74.50;
;;;;;;;;;2.2k;4.90;2.38;2058.82;2160.00;101.18;
;;;;;;;;;2.7k;4.90;1.93;2538.86;2670.00;131.14;
;;;;;;;;;3.9k;4.90;1.34;3656.72;3860.00;203.28;
;;;;;;;;;6.7k;4.90;0.79;6202.53;n6600.00;397.47;
;;;;;;;;;12k;5.00;0.46;10869.57;11790.00;920.43;
;;;;;;;;;27k;5.00;0.22;22727.27;26900.00;4172.73;
;;;;;;;;;39k;5.00;0.16;31250.00;38500.00;7250.00;
;;;;;;;;;47k;5.00;0.14;35714.29;46400.00;10685.71;
;;;;;;;;;56k;5.00;0.12;41666.67;55500.00;13833.33;